domain,edge,field,manual_value,inferred_value,match,ii_with_manual,ii_with_inferred,ii_delta_pct,method,git_hash,timestamp
arvr_stereo,stereo_disparity->image_warp,tile_shape,"[64, 64]",[1024],0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,stereo_disparity->image_warp,visibility,LOCAL_SPM,LOCAL_SPM,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,stereo_disparity->image_warp,double_buffering,False,False,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,stereo_disparity->image_warp,backpressure,N/A,BLOCK,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,image_warp->post_filter,rate,4096,1024,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,image_warp->post_filter,tile_shape,"[64, 64]",[1024],0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,image_warp->post_filter,visibility,LOCAL_SPM,LOCAL_SPM,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,image_warp->post_filter,double_buffering,False,False,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
arvr_stereo,image_warp->post_filter,backpressure,N/A,BLOCK,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,imu_integration->pose_estimate,rate,600,1024,0,600,1024,70.67,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,imu_integration->pose_estimate,tile_shape,"[200, 3]",[1024],0,600,1024,70.67,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,imu_integration->pose_estimate,visibility,LOCAL_SPM,LOCAL_SPM,1,600,1024,70.67,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,imu_integration->pose_estimate,double_buffering,False,False,1,600,1024,70.67,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,imu_integration->pose_estimate,backpressure,N/A,BLOCK,0,600,1024,70.67,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,fast_detect->orb_descriptor,rate,1000,1024,0,1000,1024,2.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,fast_detect->orb_descriptor,tile_shape,"[500, 2]",[1024],0,1000,1024,2.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,fast_detect->orb_descriptor,visibility,LOCAL_SPM,LOCAL_SPM,1,1000,1024,2.4,simulated,4d4c308,2026-03-24T07:10:32Z
robotics_vio,fast_detect->orb_descriptor,double_buffering,False,False,1,1000,1024,2.4,simulated,4d4c308,2026-03-24T07:10:32Z
