core_type,tier,bo_iteration,pe_type,array_rows,array_cols,pe_count,fu_alu,fu_mul,fu_fp,fu_mem,spm_kb,area_um2,all_kernels_mapped,avg_ii,assigned_kernels,git_hash,timestamp
gp,tier2,14,spatial_pe,6,6,36,4,2,0,2,20,502240.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,15,spatial_pe,6,6,36,5,1,0,1,16,494192.0,1,5.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,16,spatial_pe,6,6,36,5,1,0,1,12,492144.0,1,5.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,17,spatial_pe,6,6,36,4,0,1,2,8,495096.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,18,spatial_pe,6,6,36,5,2,0,2,8,498096.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,19,spatial_pe,6,6,36,4,1,0,2,12,493644.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,20,spatial_pe,6,7,42,5,0,0,1,8,560596.0,1,5.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,21,spatial_pe,6,6,36,5,1,0,2,12,495644.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,22,spatial_pe,6,7,42,4,1,1,1,12,573144.0,1,5.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,23,spatial_pe,6,6,36,4,0,0,2,16,491192.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,24,spatial_pe,6,7,42,4,1,0,1,20,569240.0,1,5.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,25,spatial_pe,6,7,42,3,1,0,1,12,563144.0,1,5.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,26,spatial_pe,6,7,42,3,1,0,2,16,568692.0,1,4.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,27,spatial_pe,6,6,36,5,1,0,2,16,497692.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,28,spatial_pe,6,7,42,4,0,0,3,16,569692.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,29,spatial_pe,6,6,36,3,0,0,3,12,490644.0,1,4.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,30,spatial_pe,6,7,42,2,0,0,2,8,558096.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,31,spatial_pe,7,6,42,4,0,0,3,8,565596.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,32,spatial_pe,6,7,42,2,1,0,3,8,566096.0,1,6.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,33,spatial_pe,6,6,36,3,0,0,3,8,488596.0,1,4.5,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,34,spatial_pe,6,7,42,4,1,0,2,4,564548.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
gp,tier2,35,spatial_pe,6,7,42,4,0,1,3,4,571548.0,1,3.0,2,4d4c308,2026-03-24T07:06:15Z
